period_end,org_code,org_name,nhse_region_code,nhse_region_name,ics_code,staff_group,leavers_hc,joiners_hc,denom_start_hc,denom_end_hc,leavers_fte,denom_end_fte,leaver_rate
202308,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",Y58,South West,QOX,Nurses & health visitors,1.0,2.0,,66.0,0.8,57.60666,0.015151515151515152
202308,QPM,NHS Northamptonshire ICB,Y60,Midlands,QPM,Nurses & health visitors,,,,23.0,,22.6,
202308,QPM,NHS Northamptonshire ICB,Y60,Midlands,QPM,"Support to doctors, nurses & midwives",,,,1.0,,1.0,
202308,QR1,NHS Gloucestershire ICB,Y58,South West,QR1,Nurses & health visitors,,2.0,,67.0,,56.11334,
202308,QR1,NHS Gloucestershire ICB,Y58,South West,QR1,"Support to doctors, nurses & midwives",,,,14.0,,12.06667,
202308,QRL,NHS Hampshire and Isle of Wight ICB,Y59,South East,QRL,Nurses & health visitors,3.0,1.0,,144.0,2.89333,132.13333,0.020833333333333332
202308,QRL,NHS Hampshire and Isle of Wight ICB,Y59,South East,QRL,"Support to doctors, nurses & midwives",,,,1.0,,1.0,
202308,QRV,NHS North West London ICB,Y56,London,QRV,Nurses & health visitors,1.0,,,104.0,0.6,94.22667,0.009615384615384616
202308,QSL,NHS Somerset ICB,Y58,South West,QSL,Nurses & health visitors,2.0,1.0,,62.0,2.0,53.56,0.03225806451612903
202308,QSL,NHS Somerset ICB,Y58,South West,QSL,"Support to doctors, nurses & midwives",1.0,,,6.0,0.42667,6.0,0.16666666666666666
202308,QT1,NHS Nottingham and Nottinghamshire ICB,Y60,Midlands,QT1,Nurses & health visitors,1.0,,,51.0,0.4,46.44,0.0196078431372549
202308,QT1,NHS Nottingham and Nottinghamshire ICB,Y60,Midlands,QT1,"Support to doctors, nurses & midwives",,,,1.0,,0.4,
202308,QT6,NHS Cornwall and the Isles of Scilly ICB,Y58,South West,QT6,Nurses & health visitors,,,,65.0,,53.41335,
202308,QT6,NHS Cornwall and the Isles of Scilly ICB,Y58,South West,QT6,"Support to doctors, nurses & midwives",,,,1.0,,1.0,
202308,QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",Y59,South East,QU9,Nurses & health visitors,2.0,1.0,,65.0,2.0,52.61067,0.03076923076923077
202308,QUA,NHS Black Country ICB,Y60,Midlands,QUA,Nurses & health visitors,,,,73.0,,64.57014,
202308,QUE,NHS Cambridgeshire and Peterborough ICB,Y61,East of England,QUE,Nurses & health visitors,1.0,,,64.0,1.0,59.52001,0.015625
202308,QUY,"NHS Bristol, North Somerset and South Gloucestershire ICB",Y58,South West,QUY,Nurses & health visitors,2.0,,,78.0,1.6,68.89334,0.02564102564102564
202308,QVV,NHS Dorset ICB,Y58,South West,QVV,Nurses & health visitors,2.0,,,61.0,1.2,49.38667,0.03278688524590164
202308,QVV,NHS Dorset ICB,Y58,South West,QVV,"Support to doctors, nurses & midwives",1.0,2.0,,47.0,0.4,37.25468,0.02127659574468085
202308,QWE,NHS South West London ICB,Y56,London,QWE,Nurses & health visitors,2.0,2.0,,34.0,2.0,33.52,0.058823529411764705
202308,QWE,NHS South West London ICB,Y56,London,QWE,"Support to doctors, nurses & midwives",,,,9.0,,9.0,
202308,QWO,NHS West Yorkshire ICB,Y63,North East and Yorkshire,QWO,Nurses & health visitors,2.0,3.0,,144.0,1.22667,124.98979,0.013888888888888888
202308,QWO,NHS West Yorkshire ICB,Y63,North East and Yorkshire,QWO,"Support to doctors, nurses & midwives",,,,14.0,,12.28,
202308,QWU,NHS Coventry and Warwickshire ICB,Y60,Midlands,QWU,Nurses & health visitors,,7.0,,63.0,,55.82,
202308,QXU,NHS Surrey Heartlands ICB,Y59,South East,QXU,Nurses & health visitors,,,,33.0,,30.80667,
202308,QXU,NHS Surrey Heartlands ICB,Y59,South East,QXU,"Support to doctors, nurses & midwives",,,,4.0,,3.0,
202308,QYG,NHS Cheshire and Merseyside ICB,Y62,North West,QYG,Nurses & health visitors,1.0,4.0,,144.0,1.0,128.51601,0.006944444444444444
202308,QYG,NHS Cheshire and Merseyside ICB,Y62,North West,QYG,"Support to doctors, nurses & midwives",,,,22.0,,20.18667,
202308,R0A,Manchester University NHS Foundation Trust,Y62,North West,QOP,Nurses & health visitors,91.0,46.0,,8821.0,76.59333,8081.8537,0.010316290669992064
202308,R0A,Manchester University NHS Foundation Trust,Y62,North West,QOP,"Support to doctors, nurses & midwives",77.0,139.0,,6117.0,64.38668,5345.66566,0.012587869870851724
202308,R0B,South Tyneside and Sunderland NHS Foundation Trust,Y63,North East and Yorkshire,QHM,Nurses & health visitors,26.0,17.0,,3028.0,22.41334,2724.40584,0.008586525759577279
